prepped_sentiment_bucket,Low,Medium,High
Low,0.22873612979121932,0.27366542750621525,0.36474535470207886
Medium,0.19591935940573454,0.21110765700836923,0.30353021270290836
High,0.20096442790391725,0.2602428114977386,0.337653473153116
