amihud_ratio_bucket,count,mean,median,std,min,max
Low,492,0.24384481546427986,0.22761804551867704,0.09883768390470371,0.0919146062825015,1.0482348950989555
Medium,491,0.25120267304504046,0.2373303394030575,0.11136156720917115,0.0966578981583579,1.1275961969704416
High,492,0.2989059818400056,0.2625979147220827,0.1692941741954112,0.0858380933338465,1.1156779439140174
