qqq_return_bucket,count,mean,median,std,min,max
Down,278,0.31727425675822934,0.2857023578541529,0.1719990292084378,0.1034436882532894,1.1156779439140174
Flat,855,0.24307885313674876,0.2255616216399978,0.1145164036048171,0.0858380933338465,1.1275961969704416
Up,342,0.27584573663191625,0.2522312582551717,0.12372525141480872,0.1004854911180908,1.1039230397857764
