qa_dispersion_bucket,Low,Medium,High
Low,0.2453863511091988,0.24781362237475907,0.38424926161211415
Medium,0.19419876145193798,0.2702813331688351,0.32134632894001114
High,0.18672019968575151,0.2029298275001216,0.23375192869948067
