vol_rolling_21d_bucket,count,mean,median,std,min,max
Low,492,0.20441255524605706,0.20686902933923923,0.05986631435203509,0.0858380933338465,0.466043769938112
Medium,491,0.24676315572605936,0.2260329280395644,0.11426985692739144,0.0867763692075593,1.0522742367613065
High,492,0.3427687359680246,0.319563661666062,0.16096630038715942,0.1454437691822869,1.1275961969704416
