sec_dispersion_bucket,count,mean,median,std,min,max
Low,528,0.25925019683155665,0.2458433187822878,0.07382068603193881,0.1348284525364793,0.4669347981582388
Medium,506,0.2945458827983201,0.2520399612892851,0.18749249612407717,0.1237563501843277,1.1275961969704416
High,441,0.23684712951431167,0.2252982844503774,0.09990590350282746,0.0858380933338465,0.5515057110409229
