vol_garman_klass_bucket,count,mean,median,std,min,max
Low,492,0.20219554452466848,0.2042375086542619,0.06868922728850838,0.0858380933338465,0.6039928366688618
Medium,491,0.2484417310768617,0.2280640182131877,0.11495272967418492,0.1034436882532894,1.0522742367613065
High,492,0.3433105830771287,0.3252083798118707,0.15594630159700923,0.1454437691822869,1.1275961969704416
