qqq_vol_21d_bucket,0-5,6-20,21-60,61+
Low,0.22051977230780523,0.2646737425746535,0.18025139619467262,0.22525847739791038
Medium,0.235060710369366,0.22136978349576475,0.2411718004442856,0.25995573195083516
High,0.2927195935618427,0.2751287935307268,0.3426531380259756,0.3663011991007158
