sec_sentiment_bucket,count,mean,median,std,min,max
Low,530,0.26034066727582317,0.2497086010823778,0.06374252851247132,0.1348284525364793,0.452929869982241
Medium,507,0.2998170124143569,0.2483248270520261,0.20035322182817145,0.0858380933338465,1.1275961969704416
High,438,0.22919206801040656,0.21179944656798155,0.07056722374717443,0.1034436882532894,0.4226958036966509
