prepped_sentiment_bucket,count,mean,median,std,min,max
Low,502,0.3080518780171903,0.2757826176680362,0.19289078044127753,0.0858380933338465,1.1275961969704416
Medium,502,0.22579258602732247,0.2192971093119065,0.06615911755734294,0.1140646606942386,0.4125548535102574
High,471,0.25983860676959214,0.2473758824964932,0.08349542110458807,0.1290962691539313,0.5515057110409229
