prepped_sentiment_bucket,0-5,6-20,21-60,61+
Low,0.2835714343043865,0.31355806666850466,0.3248960402170845,0.2879821410354184
Medium,0.21973256224341403,0.2183067509994564,0.2223011917414409,0.2351152975017943
High,0.24383678262610115,0.22827680135095313,0.23862842926894998,0.31012121543054555
