vol_rolling_21d_bucket,Low,Medium,High
Low,0.2312944896426311,0.18417389062675318,0.2090846329668823
Medium,0.24293960252784796,0.29625694769770355,0.21487804335465327
High,0.29058186762597316,0.40839783510799743,0.31828922540934
