qa_dispersion_bucket,count,mean,median,std,min,max
Low,526,0.30436670596811816,0.25505469544176645,0.18282868098478666,0.1348284525364793,1.1275961969704416
Medium,506,0.28382830201678433,0.2784306838410713,0.08641594579120693,0.1290962691539313,0.5515057110409229
High,443,0.19562053403860108,0.1946459446023093,0.055832858237184924,0.0858380933338465,0.4136203518825521
