days_since_filing_bucket,count,mean,median,std,min,max
0-5,92,0.24611015503338762,0.20565951197803406,0.0959624862605003,0.0867763692075593,0.5028995605175791
6-20,260,0.25482122872932794,0.22039721765676534,0.1384846441862697,0.0858380933338465,1.0482348950989555
21-60,632,0.2616684020848508,0.23447986689552885,0.15941373891310814,0.0952799470940656,1.1275961969704416
61+,491,0.2771971912189423,0.2699619433861813,0.0885763369013511,0.1034436882532894,0.5515057110409229
