qqq_vol_21d_bucket,count,mean,median,std,min,max
Low,492,0.21653597470897118,0.2084314180038713,0.10753132279179684,0.0858380933338465,1.0482348950989555
Medium,491,0.24275739164987403,0.2300320261778607,0.09377176338973114,0.1034436882532894,1.0993284498763467
High,492,0.33464293878439294,0.31348651727204485,0.15668377891512866,0.1454437691822869,1.1275961969704416
