qa_sentiment_bucket,count,mean,median,std,min,max
Low,529,0.2508931968408228,0.2411626915804094,0.06930767620362446,0.1290962691539313,0.452929869982241
Medium,496,0.31619182211690944,0.2818925749319545,0.19427156859227102,0.1140646606942386,1.1275961969704416
High,450,0.22404502186675773,0.22175183942560972,0.07381768253525671,0.0858380933338465,0.4226958036966509
