days_since_earnings_bucket,Low,Medium,High
0-5,0.2674505250912597,0.248900032098312,0.20556985827754684
6-20,0.24822826633567616,0.27479223334545333,0.23485626353162356
21-60,0.2493664082643788,0.3147398665034267,0.21834157832249423
61+,0.2807121454335019,0.3034755293961185,0.24260992562203895
