sec_dispersion_bucket,Low,Medium,High
Low,0.21505969837506905,0.26450581144839547,0.2979536083677709
Medium,0.22826987027295068,0.24733926441838333,0.3850252829233811
High,0.17606367887760968,0.20573828050124368,0.3399972250834421
