days_since_earnings_bucket,count,mean,median,std,min,max
0-5,92,0.24754586082986207,0.20565951197803406,0.09538495604497811,0.0867763692075593,0.5028995605175791
6-20,260,0.25351543886017724,0.22234232782990676,0.13719834421565064,0.0858380933338465,1.0482348950989555
21-60,632,0.2625837696707065,0.23560687286570076,0.15968577576456983,0.0952799470940656,1.1275961969704416
61+,491,0.27644140327279715,0.2602615799112283,0.08922677447325847,0.1034436882532894,0.5515057110409229
