days_since_filing_bucket,Low,Medium,High
0-5,0.2727069989611681,0.23779732640955334,0.21729866064016265
6-20,0.24822826633567616,0.27805358599305646,0.23664099544300993
21-60,0.2493664082643788,0.31664973839134924,0.213059905376005
61+,0.2792869716647627,0.30113482828452953,0.24753986712557652
