model,n_features,valid_MAE,valid_RMSE,valid_R2,valid_Spearman,test_MAE,test_RMSE,test_R2,test_Spearman
gbr_extended,29,0.04919914150178461,0.06412230551702505,-0.7931425535692811,0.4954424939708704,0.08223427931713312,0.09575873583553977,0.2900269037894291,0.7137440735902815
rf_extended,29,0.07304719858579085,0.0900035133880961,-2.532770985531994,0.5049634083375356,0.08428018041090944,0.0998203039927596,0.22852321857057045,0.6722029873251133
gbr_baseline,11,0.05144403305432234,0.06653368337036038,-0.93054395053632,0.29296456542679683,0.08509923879451656,0.10433972033883154,0.1570837616270888,0.5653233207727257
rf_baseline,11,0.05048991071595653,0.06282467281149016,-0.7213018279952479,0.11093882818020746,0.08685497269648954,0.11204994409450394,0.02790575491485614,0.40543665337032014
ridge_baseline,11,0.04640894840431951,0.0585527140942487,-0.495170158205841,0.33675873675873674,0.09787238923604664,0.11657239919353031,-0.052147320168312916,0.29570399767820144
ridge_extended,29,0.10131097763245757,0.12341678028442245,-5.642705268581243,0.0625407521959246,0.15409112384343046,0.19376239658571062,-1.9068597512955203,0.10822078684674104
